transactionId,accountId,transactionDay,category,transactionAmount
T00062,A37,2,CC,338.21
T00063,A4,2,CC,659.49
T00064,A12,2,FF,438.88
T00065,A3,2,DD,486.81
T00066,A21,2,EE,107.90
T00067,A10,2,BB,747.62
T00068,A8,2,GG,624.81
T00069,A7,2,EE,367.00
T00070,A40,2,DD,633.84
T00071,A17,2,BB,533.15
T00072,A27,2,CC,764.79
T00073,A9,2,DD,473.30
T00074,A23,2,AA,743.51
T00075,A15,2,DD,168.31
T00076,A34,2,FF,478.41
T00077,A13,2,FF,516.34
T00078,A11,2,AA,914.89
T00079,A23,2,EE,402.15
T00080,A46,2,AA,286.84
T00081,A11,2,AA,106.01
T00082,A46,2,AA,762.15
T00083,A29,2,EE,495.34
T00084,A49,2,GG,378.71
T00085,A11,2,BB,481.88
T00086,A8,2,AA,598.28
T00087,A24,2,EE,298.56
T00088,A42,2,DD,767.11
T00089,A8,2,CC,253.09
T00090,A28,2,FF,265.70
T00091,A31,2,FF,748.48
T00092,A8,2,EE,154.29
T00093,A35,2,GG,526.40
T00094,A9,2,BB,676.48
T00095,A21,2,BB,285.11
T00096,A13,2,GG,70.19
T00097,A33,2,BB,51.39
T00098,A27,2,FF,753.42
T00099,A35,2,FF,944.66
T000100,A34,2,FF,101.51
T000101,A29,2,EE,261.75
T000102,A15,2,DD,713.60
T000103,A13,2,EE,131.47
T000104,A8,2,BB,277.48
T000105,A28,2,CC,341.52
T000106,A11,2,AA,885.56
T000107,A8,2,FF,323.22
T000108,A12,2,EE,928.86
T000109,A45,3,BB,695.21
T000110,A44,3,AA,501.71
T000111,A45,3,CC,213.21
T000112,A12,3,EE,586.62
T000113,A3,3,EE,450.64
T000114,A18,3,AA,157.28
T000115,A26,3,GG,43.57
T000116,A5,3,CC,736.50
T000117,A3,3,EE,873.58
T000118,A20,3,BB,877.24
T000119,A23,3,DD,133.42
T000120,A30,3,GG,496.14
T000121,A30,3,FF,822.84
T000122,A39,3,CC,982.64
T000123,A45,3,BB,855.74
T000124,A28,3,CC,530.93
T000125,A14,3,EE,624.94
T000126,A36,3,EE,197.62
T000127,A34,3,EE,567.00
T000128,A41,3,BB,775.15
T000129,A29,3,EE,997.18
T000130,A34,3,GG,688.78
T000131,A39,4,BB,243.39
T000132,A33,4,AA,774.80
T000133,A40,4,DD,897.97
T000134,A1,4,FF,977.98
T000135,A29,4,FF,827.53
T000136,A18,4,EE,718.32
T000137,A32,4,CC,433.43
T000138,A21,4,GG,920.24
T000139,A14,4,CC,539.61
T000140,A38,4,CC,471.95
T000141,A43,4,BB,199.06
T000142,A26,4,BB,188.06
T000143,A6,4,GG,656.90
T000144,A43,4,EE,185.87
T000145,A9,4,DD,685.45
T000146,A6,4,GG,953.46
T000147,A15,4,BB,515.35
T000148,A28,4,DD,287.55
T000149,A37,4,EE,626.96
T000150,A36,4,CC,709.33
T000151,A40,4,AA,737.53
T000152,A3,4,BB,928.88
T000153,A39,4,AA,422.17
T000154,A38,4,CC,421.39
T000155,A45,4,BB,940.41
T000156,A7,4,FF,203.34
T000157,A34,4,FF,5.16
T000158,A26,4,FF,452.14
T000159,A41,4,BB,427.26
T000160,A18,4,GG,699.63
T000161,A14,4,AA,796.33
T000162,A5,4,AA,948.31
T000163,A33,4,FF,617.25
T000164,A2,4,DD,208.19
T000165,A13,4,EE,611.90
T000166,A28,4,BB,633.11
T000167,A38,4,DD,216.92
T000168,A23,4,DD,647.12
T000169,A43,4,CC,660.77
T000170,A15,4,DD,194.77
T000171,A42,4,EE,387.29
T000172,A46,4,DD,523.63
T000173,A46,4,AA,7.82
T000174,A32,4,EE,712.70
T000175,A12,4,EE,410.50
T000176,A2,4,EE,497.80
T000177,A10,4,CC,132.46
T000178,A9,4,GG,812.73
T000179,A12,4,DD,610.00
T000180,A37,4,DD,864.68
T000181,A37,4,GG,461.32
T000182,A21,4,CC,492.85
T000183,A31,4,DD,528.04
T000184,A36,4,DD,21.42
T000185,A26,4,EE,4.12
T000186,A35,4,BB,810.77
T000187,A17,4,AA,614.56
T000188,A33,4,EE,235.73
T000189,A32,4,GG,471.48
T000190,A16,4,FF,874.84
T000191,A14,4,GG,931.16
T000192,A34,4,BB,282.00
T000193,A26,4,DD,503.58
T000194,A33,4,FF,829.56
T000195,A2,5,BB,624.25
T000196,A16,5,FF,761.67
T000197,A29,5,GG,888.75
T000198,A41,5,EE,777.29
T000199,A1,5,CC,171.19
T000200,A42,5,FF,174.04
T000201,A47,5,FF,900.67
T000202,A40,5,AA,827.40
T000203,A34,5,GG,653.37
T000204,A26,6,CC,54.12
T000205,A45,6,GG,133.23
T000206,A35,6,AA,714.33
T000207,A44,6,EE,560.05
T000208,A8,6,GG,743.80
T000209,A42,6,BB,461.91
T000210,A24,6,GG,675.99
T000211,A32,6,EE,877.00
T000212,A19,6,GG,612.81
T000213,A44,6,EE,10.59
T000214,A41,6,AA,533.87
T000215,A43,6,DD,463.71
T000216,A31,6,DD,795.81
T000217,A31,6,AA,252.74
T000218,A27,6,AA,166.29
T000219,A20,6,FF,973.22
T000220,A48,6,DD,762.14
T000221,A2,6,BB,625.73
T000222,A43,6,AA,816.13
T000223,A21,6,CC,818.33
T000224,A32,6,DD,284.47
T000225,A46,6,BB,287.48
T000226,A7,6,EE,924.59
T000227,A4,6,DD,938.17
T000228,A21,6,GG,622.90
T000229,A31,6,BB,893.98
T000230,A26,6,FF,432.20
T000231,A26,6,GG,369.08
T000232,A20,6,FF,990.85
T000233,A40,6,GG,526.90
T000234,A36,6,EE,738.68
T000235,A16,6,BB,873.61
T000236,A30,6,DD,619.14
T000237,A13,6,BB,150.04
T000238,A4,6,CC,762.86
T000239,A46,6,CC,131.60
T000240,A21,6,BB,984.67
T000241,A12,6,DD,223.49
T000242,A8,6,CC,794.25
T000243,A10,6,GG,247.24
T000244,A8,6,FF,20.18
T000245,A48,6,GG,354.58
T000246,A5,6,BB,77.52
T000247,A43,6,GG,576.07
T000248,A33,6,DD,371.34
T000249,A30,6,DD,114.33
T000250,A41,6,BB,321.38
T000251,A22,6,FF,125.64
T000252,A27,6,CC,17.78
T000253,A41,6,GG,398.44
T000254,A45,6,DD,573.27
T000255,A34,6,CC,34.02
T000256,A46,6,AA,824.25
T000257,A49,6,GG,961.67
T000258,A32,6,EE,151.20
T000259,A21,7,DD,879.83
T000260,A25,7,BB,838.50
T000261,A42,7,DD,4.52
T000262,A5,7,FF,574.18
T000263,A12,7,GG,827.76
T000264,A20,7,AA,402.18
T000265,A18,7,EE,941.14
T000266,A7,7,AA,682.74
T000267,A18,7,BB,863.59
T000268,A12,7,AA,391.18
T000269,A18,7,AA,727.33
T000270,A5,7,FF,390.70
T000271,A1,7,FF,622.43
T000272,A5,7,AA,151.88
T000273,A44,7,GG,377.61
T000274,A12,7,FF,759.91
T000275,A39,7,FF,564.29
T000276,A36,8,CC,949.59
T000277,A9,8,EE,550.18
T000278,A8,8,DD,339.16
T000279,A15,8,CC,500.73
T000280,A22,8,GG,995.78
T000281,A33,8,FF,328.74
T000282,A40,8,CC,958.65
T000283,A36,8,CC,726.54
T000284,A34,8,FF,370.23
T000285,A29,8,GG,580.05
T000286,A15,8,AA,421.58
T000287,A35,8,DD,260.38
T000288,A32,8,GG,404.86
T000289,A13,8,GG,516.13
T000290,A13,8,CC,784.17
T000291,A36,8,DD,948.33
T000292,A15,8,AA,345.28
T000293,A28,8,FF,340.07
T000294,A37,8,EE,165.48
T000295,A36,8,BB,434.10
T000296,A16,8,GG,356.74
T000297,A25,8,EE,104.19
T000298,A7,8,GG,278.49
T000299,A26,8,DD,249.97
T000300,A19,8,AA,190.74
T000301,A28,8,CC,159.73
T000302,A2,8,BB,123.92
T000303,A19,8,EE,532.33
T000304,A8,8,BB,78.81
T000305,A17,8,FF,826.62
T000306,A38,8,FF,537.98
T000307,A46,8,EE,115.60
T000308,A38,8,FF,669.70
T000309,A33,8,BB,162.66
T000310,A33,8,BB,535.72
T000311,A16,8,FF,8.63
T000312,A39,8,GG,76.62
T000313,A10,8,AA,960.56
T000314,A1,8,GG,641.15
T000315,A14,8,GG,507.37
T000316,A18,8,BB,350.73
T000317,A31,8,DD,352.16
T000318,A32,8,BB,645.75
T000319,A39,8,CC,447.67
T000320,A19,8,CC,947.38
T000321,A39,8,AA,648.41
T000322,A12,8,FF,486.56
T000323,A10,8,GG,352.30
T000324,A44,8,EE,1.51
T000325,A33,8,EE,294.28
T000326,A17,8,FF,185.48
T000327,A33,8,CC,475.89
T000328,A2,8,CC,478.62
T000329,A12,8,CC,67.27
T000330,A45,8,EE,40.93
T000331,A6,8,CC,1.80
T000332,A34,8,AA,517.58
T000333,A1,8,AA,898.64
T000334,A40,8,EE,513.60
T000335,A42,8,FF,894.86
T000336,A28,8,AA,532.01
T000337,A23,8,FF,946.09
T000338,A8,8,GG,497.34
T000339,A4,9,AA,163.78
T000340,A5,9,GG,886.19
T000341,A47,9,DD,796.90
T000342,A20,9,GG,916.87
T000343,A47,9,AA,537.26
T000344,A45,9,EE,212.34
T000345,A14,9,FF,930.43
T000346,A43,9,CC,843.61
T000347,A28,9,GG,807.54
T000348,A26,9,AA,685.36
T000349,A45,9,CC,818.82
T000350,A14,9,AA,571.02
T000351,A22,9,AA,345.52
T000352,A5,9,CC,821.64
T000353,A35,9,GG,294.89
T000354,A49,9,CC,340.89
T000355,A13,9,DD,541.16
T000356,A48,9,GG,618.16
T000357,A48,9,EE,66.05
T000358,A18,9,GG,661.97
T000359,A12,9,EE,173.13
T000360,A45,9,DD,98.49
T000361,A35,9,CC,503.21
T000362,A16,9,FF,412.34
T000363,A42,9,AA,961.68
T000364,A9,9,GG,581.97
T000365,A27,10,AA,83.54
T000366,A35,10,BB,167.01
T000367,A10,10,EE,808.56
T000368,A44,10,AA,242.44
T000369,A38,10,AA,116.02
T000370,A19,10,CC,441.98
T000371,A18,10,GG,477.88
T000372,A37,10,AA,773.09
T000373,A45,10,EE,628.63
T000374,A7,10,EE,796.32
T000375,A27,10,FF,721.92
T000376,A38,10,DD,223.63
T000377,A16,10,GG,546.21
T000378,A29,10,AA,983.69
T000379,A21,10,GG,105.70
T000380,A7,10,FF,326.39
T000381,A1,10,BB,537.73
T000382,A48,10,DD,594.52
T000383,A19,10,FF,34.22
T000384,A37,10,CC,877.54
T000385,A48,10,FF,162.03
T000386,A38,10,FF,880.45
T000387,A14,10,BB,736.36
T000388,A44,10,FF,990.11
T000389,A34,10,FF,190.78
T000390,A4,10,FF,702.40
T000391,A2,10,GG,209.25
T000392,A16,10,CC,284.90
T000393,A20,10,BB,237.76
T000394,A31,11,EE,793.57
T000395,A18,11,AA,377.09
T000396,A23,11,AA,335.92
T000397,A43,11,BB,73.21
T000398,A28,11,FF,778.89
T000399,A46,11,EE,968.23
T000400,A23,11,AA,936.75
T000401,A30,11,CC,252.14
T000402,A2,11,CC,642.27
T000403,A32,11,FF,864.56
T000404,A10,11,CC,4.02
T000405,A21,11,AA,935.71
T000406,A35,11,GG,583.08
T000407,A45,11,GG,926.99
T000408,A27,11,EE,184.70
T000409,A36,11,DD,34.32
T000410,A10,11,CC,453.24
T000411,A17,11,CC,550.95
T000412,A31,11,GG,483.42
T000413,A39,11,DD,51.55
T000414,A32,11,CC,216.41
T000415,A12,11,CC,455.89
T000416,A5,11,EE,476.28
T000417,A23,11,BB,257.62
T000418,A41,11,CC,120.49
T000419,A34,11,BB,462.63
T000420,A4,11,FF,927.50
T000421,A46,11,CC,71.58
T000422,A18,11,DD,525.11
T000423,A26,11,AA,262.38
T000424,A35,11,CC,875.48
T000425,A28,11,BB,780.81
T000426,A16,11,GG,575.27
T000427,A1,11,FF,431.59
T000428,A5,11,CC,504.49
T000429,A24,11,FF,976.95
T000430,A7,11,GG,162.69
T000431,A27,11,FF,196.18
T000432,A44,11,CC,368.48
T000433,A41,11,DD,337.13
T000434,A13,11,FF,866.21
T000435,A7,11,BB,699.44
T000436,A21,11,CC,783.38
T000437,A3,11,CC,629.35
T000438,A37,11,BB,812.64
T000439,A3,11,AA,777.15
T000440,A38,11,BB,454.44
T000441,A38,12,BB,70.94
T000442,A43,12,GG,649.53
T000443,A26,12,EE,494.12
T000444,A6,12,GG,654.74
T000445,A31,12,CC,419.07
T000446,A7,12,EE,71.23
T000447,A22,12,DD,945.83
T000448,A29,12,BB,521.56
T000449,A40,12,CC,422.05
T000450,A5,12,EE,589.55
T000451,A36,12,EE,79.24
T000452,A31,12,BB,286.86
T000453,A30,12,FF,510.59
T000454,A21,12,DD,490.60
T000455,A2,12,FF,536.59
T000456,A8,12,FF,508.23
T000457,A6,12,CC,857.62
T000458,A13,12,DD,169.16
T000459,A5,12,DD,776.08
T000460,A35,12,EE,616.97
T000461,A16,12,BB,185.88
T000462,A46,12,AA,281.83
T000463,A18,12,AA,973.46
T000464,A21,12,EE,349.34
T000465,A14,12,GG,951.87
T000466,A45,12,EE,410.64
T000467,A32,12,AA,458.25
T000468,A18,12,CC,877.68
T000469,A31,12,BB,785.37
T000470,A6,12,FF,178.29
T000471,A8,12,BB,688.66
T000472,A10,12,AA,707.74
T000473,A49,12,BB,313.26
T000474,A40,12,EE,6.53
T000475,A32,12,CC,19.02
T000476,A39,13,BB,658.47
T000477,A3,13,BB,746.53
T000478,A12,13,AA,959.10
T000479,A31,13,AA,763.68
T000480,A35,13,EE,490.92
T000481,A41,13,GG,859.51
T000482,A4,13,GG,360.62
T000483,A36,13,EE,311.25
T000484,A3,13,BB,2.45
T000485,A8,13,EE,240.13
T000486,A6,13,GG,132.76
T000487,A43,13,GG,293.12
T000488,A49,13,FF,652.76
T000489,A47,13,EE,940.13
T000490,A29,13,CC,39.24
T000491,A19,13,DD,60.08
T000492,A42,13,AA,38.18
T000493,A28,13,DD,904.17
T000494,A15,13,AA,280.93
T000495,A42,13,CC,971.14
T000496,A23,13,GG,780.47
T000497,A9,14,EE,806.70
T000498,A2,14,FF,132.56
T000499,A7,14,BB,248.18
T000500,A31,14,AA,646.75
T000501,A6,14,DD,175.47
T000502,A1,14,CC,562.36
T000503,A35,14,EE,400.58
T000504,A10,14,BB,966.73
T000505,A31,14,DD,930.74
T000506,A41,14,FF,26.11
T000507,A5,14,DD,473.66
T000508,A43,14,FF,663.92
T000509,A36,14,FF,718.85
T000510,A43,14,BB,876.97
T000511,A44,14,FF,624.71
T000512,A18,14,BB,466.91
T000513,A45,14,EE,669.29
T000514,A14,14,FF,82.48
T000515,A38,14,AA,780.74
T000516,A18,14,EE,117.46
T000517,A44,14,GG,454.05
T000518,A6,14,EE,190.15
T000519,A6,14,EE,381.66
T000520,A24,14,GG,641.50
T000521,A35,14,CC,778.14
T000522,A11,14,AA,733.10
T000523,A31,14,CC,462.94
T000524,A29,14,FF,999.67
T000525,A7,14,EE,680.29
T000526,A27,15,BB,517.09
T000527,A25,15,BB,581.52
T000528,A9,15,FF,683.67
T000529,A49,15,BB,272.66
T000530,A42,15,FF,480.30
T000531,A38,15,GG,339.02
T000532,A47,15,CC,74.96
T000533,A15,15,DD,798.44
T000534,A45,15,AA,67.43
T000535,A38,15,GG,506.05
T000536,A23,15,EE,632.01
T000537,A44,15,GG,136.35
T000538,A38,15,EE,309.36
T000539,A36,15,DD,1.54
T000540,A26,15,BB,222.74
T000541,A25,15,GG,130.85
T000542,A15,15,DD,49.88
T000543,A16,16,CC,231.09
T000544,A24,16,AA,168.39
T000545,A36,16,CC,377.01
T000546,A14,16,BB,10.86
T000547,A29,16,BB,538.08
T000548,A10,16,FF,815.31
T000549,A13,16,AA,338.93
T000550,A35,16,DD,637.19
T000551,A16,16,CC,771.61
T000552,A19,16,BB,701.03
T000553,A9,16,DD,930.61
T000554,A35,17,BB,913.12
T000555,A35,17,DD,225.10
T000556,A33,17,BB,631.03
T000557,A39,17,AA,938.26
T000558,A13,17,GG,591.11
T000559,A47,17,AA,449.42
T000560,A45,17,EE,232.66
T000561,A40,17,AA,912.76
T000562,A8,17,GG,524.83
T000563,A11,17,EE,694.53
T000564,A16,17,CC,802.54
T000565,A26,17,GG,411.43
T000566,A15,17,AA,47.61
T000567,A12,17,AA,983.51
T000568,A34,17,CC,513.90
T000569,A36,17,BB,717.84
T000570,A24,17,GG,587.77
T000571,A15,17,BB,72.88
T000572,A26,17,BB,300.24
T000573,A30,17,GG,418.55
T000574,A30,17,BB,962.22
T000575,A20,17,FF,803.10
T000576,A9,17,DD,981.74
T000577,A13,18,FF,465.86
T000578,A20,18,FF,39.76
T000579,A1,18,BB,593.17
T000580,A18,18,DD,450.83
T000581,A5,18,CC,605.31
T000582,A9,18,CC,715.50
T000583,A7,18,CC,83.29
T000584,A34,18,CC,983.24
T000585,A20,18,CC,296.89
T000586,A10,18,CC,387.74
T000587,A3,18,DD,179.37
T000588,A1,18,BB,991.10
T000589,A10,18,FF,508.87
T000590,A31,18,DD,378.76
T000591,A15,18,EE,3.40
T000592,A29,18,GG,784.31
T000593,A26,18,AA,13.19
T000594,A40,18,AA,990.99
T000595,A14,18,GG,503.58
T000596,A10,18,AA,156.77
T000597,A45,19,GG,61.23
T000598,A47,19,EE,139.81
T000599,A23,19,DD,727.98
T000600,A19,19,FF,863.70
T000601,A1,19,DD,568.98
T000602,A17,19,GG,754.54
T000603,A11,19,CC,15.86
T000604,A28,19,DD,306.60
T000605,A36,19,BB,190.37
T000606,A4,19,GG,388.94
T000607,A38,19,EE,610.40
T000608,A22,19,CC,992.15
T000609,A49,19,CC,907.87
T000610,A25,19,BB,732.68
T000611,A30,19,BB,446.70
T000612,A18,19,BB,581.56
T000613,A10,19,GG,19.01
T000614,A18,19,GG,965.08
T000615,A4,20,BB,119.20
T000616,A29,20,CC,596.66
T000617,A7,20,FF,647.97
T000618,A4,20,AA,142.70
T000619,A40,20,GG,282.12
T000620,A11,20,BB,99.22
T000621,A36,20,BB,161.01
T000622,A45,20,CC,62.03
T000623,A22,20,CC,987.04
T000624,A23,20,CC,909.93
T000625,A26,20,DD,114.63
T000626,A25,20,FF,288.74
T000627,A8,20,AA,711.47
T000628,A9,20,CC,183.27
T000629,A22,20,BB,615.47
T000630,A5,20,DD,294.94
T000631,A26,20,DD,82.27
T000632,A11,20,GG,404.96
T000633,A46,20,CC,220.80
T000634,A24,20,CC,895.78
T000635,A29,20,BB,547.89
T000636,A5,20,AA,128.16
T000637,A2,20,BB,758.43
T000638,A7,20,EE,426.87
T000639,A13,20,DD,503.27
T000640,A34,20,CC,14.85
T000641,A18,20,CC,695.15
T000642,A9,20,EE,353.85
T000643,A46,20,GG,621.39
T000644,A23,20,GG,999.00
T000645,A39,20,BB,932.30
T000646,A35,20,DD,255.57
T000647,A26,20,DD,395.30
T000648,A13,20,GG,637.65
T000649,A9,20,AA,157.74
T000650,A23,20,FF,372.31
T000651,A4,20,DD,144.59
T000652,A1,20,BB,966.52
T000653,A44,20,CC,132.83
T000654,A31,20,DD,160.35
T000655,A14,20,EE,990.14
T000656,A14,20,AA,426.47
T000657,A14,20,EE,543.43
T000658,A47,20,AA,544.40
T000659,A13,20,EE,551.16
T000660,A40,20,EE,677.21
T000661,A39,20,CC,293.89
T000662,A44,21,CC,809.19
T000663,A44,21,CC,368.30
T000664,A1,21,GG,364.69
T000665,A17,21,EE,372.85
T000666,A1,21,FF,321.80
T000667,A14,21,GG,306.85
T000668,A27,21,CC,158.61
T000669,A40,21,AA,669.76
T000670,A15,21,CC,525.89
T000671,A5,21,CC,443.89
T000672,A25,21,AA,626.35
T000673,A48,21,FF,371.13
T000674,A3,21,GG,899.49
T000675,A43,21,EE,193.25
T000676,A7,21,GG,759.84
T000677,A19,21,DD,815.20
T000678,A9,21,AA,817.52
T000679,A23,21,DD,672.24
T000680,A29,21,BB,221.69
T000681,A38,22,BB,934.23
T000682,A48,22,DD,510.68
T000683,A39,22,GG,564.13
T000684,A2,22,FF,627.11
T000685,A1,22,CC,663.04
T000686,A22,22,DD,561.89
T000687,A33,22,FF,980.05
T000688,A22,22,DD,427.83
T000689,A29,22,FF,942.92
T000690,A24,22,FF,631.91
T000691,A24,22,GG,74.51
T000692,A4,22,DD,214.60
T000693,A3,22,EE,199.60
T000694,A21,22,GG,355.28
T000695,A46,22,AA,418.25
T000696,A44,22,AA,504.63
T000697,A30,22,BB,424.45
T000698,A36,22,GG,598.32
T000699,A14,22,CC,382.33
T000700,A41,22,DD,330.32
T000701,A18,22,CC,237.57
T000702,A8,22,BB,520.24
T000703,A1,22,FF,37.55
T000704,A30,22,AA,195.72
T000705,A30,23,GG,561.83
T000706,A10,23,CC,129.08
T000707,A39,23,FF,322.80
T000708,A20,23,CC,217.20
T000709,A27,23,CC,786.72
T000710,A29,23,BB,273.64
T000711,A22,23,BB,486.60
T000712,A9,23,EE,514.60
T000713,A10,23,EE,550.85
T000714,A46,23,FF,262.97
T000715,A38,23,CC,55.40
T000716,A16,23,DD,169.37
T000717,A4,23,EE,522.17
T000718,A18,23,AA,554.78
T000719,A39,23,CC,832.82
T000720,A40,23,CC,316.05
T000721,A13,23,CC,804.62
T000722,A23,23,DD,204.09
T000723,A6,23,GG,683.55
T000724,A18,23,FF,183.53
T000725,A22,23,CC,850.32
T000726,A3,23,AA,13.71
T000727,A5,23,FF,105.90
T000728,A1,23,AA,152.51
T000729,A28,23,DD,5.93
T000730,A10,23,AA,577.76
T000731,A17,23,FF,846.92
T000732,A28,23,AA,145.50
T000733,A18,23,BB,72.47
T000734,A17,23,GG,659.75
T000735,A49,23,GG,63.91
T000736,A28,23,FF,915.79
T000737,A38,23,DD,507.11
T000738,A23,23,BB,596.60
T000739,A10,23,GG,786.38
T000740,A5,23,CC,51.93
T000741,A48,23,FF,146.10
T000742,A16,23,DD,670.03
T000743,A26,23,DD,682.15
T000744,A37,24,FF,763.82
T000745,A2,24,DD,577.67
T000746,A23,24,DD,636.67
T000747,A32,24,FF,381.69
T000748,A15,24,CC,767.20
T000749,A29,24,GG,543.76
T000750,A40,24,DD,858.33
T000751,A20,24,BB,864.55
T000752,A27,24,CC,832.59
T000753,A42,24,DD,999.53
T000754,A31,24,GG,723.88
T000755,A25,24,FF,661.71
T000756,A47,24,FF,815.39
T000757,A9,24,AA,709.62
T000758,A41,24,FF,304.01
T000759,A34,24,CC,877.84
T000760,A42,24,BB,233.28
T000761,A42,24,EE,509.91
T000762,A44,24,DD,430.48
T000763,A22,24,AA,287.39
T000764,A4,24,CC,707.51
T000765,A3,24,DD,613.79
T000766,A35,24,FF,641.07
T000767,A11,24,DD,8.28
T000768,A46,24,DD,834.47
T000769,A30,24,EE,591.89
T000770,A17,24,EE,681.75
T000771,A12,24,FF,507.34
T000772,A17,24,EE,303.80
T000773,A20,24,GG,904.08
T000774,A3,24,FF,507.44
T000775,A28,24,BB,941.10
T000776,A1,24,GG,329.63
T000777,A36,24,EE,112.66
T000778,A47,24,FF,972.80
T000779,A49,24,DD,86.11
T000780,A46,24,BB,711.23
T000781,A3,24,DD,155.67
T000782,A20,24,DD,654.36
T000783,A43,24,AA,362.56
T000784,A33,25,AA,89.59
T000785,A14,25,CC,309.33
T000786,A8,25,GG,495.57
T000787,A38,25,DD,705.08
T000788,A15,25,FF,216.16
T000789,A11,25,EE,718.22
T000790,A6,25,DD,215.96
T000791,A40,25,EE,284.73
T000792,A18,25,AA,300.36
T000793,A16,25,DD,622.50
T000794,A6,25,BB,675.99
T000795,A26,25,GG,336.01
T000796,A2,25,EE,752.12
T000797,A31,25,CC,660.74
T000798,A2,25,AA,638.95
T000799,A27,25,DD,592.84
T000800,A46,25,EE,885.94
T000801,A33,25,FF,877.44
T000802,A1,25,AA,621.24
T000803,A10,25,AA,87.32
T000804,A48,25,CC,402.80
T000805,A11,25,GG,314.13
T000806,A9,25,BB,772.53
T000807,A49,25,CC,315.35
T000808,A5,25,EE,716.41
T000809,A18,26,DD,312.90
T000810,A2,26,DD,977.20
T000811,A21,26,CC,22.89
T000812,A45,26,GG,440.15
T000813,A32,26,AA,911.33
T000814,A45,26,DD,618.38
T000815,A24,26,DD,116.68
T000816,A15,26,BB,601.10
T000817,A17,26,DD,957.65
T000818,A13,26,CC,696.11
T000819,A29,26,DD,453.65
T000820,A30,26,GG,397.64
T000821,A35,26,EE,825.15
T000822,A38,26,EE,240.90
T000823,A29,26,DD,512.52
T000824,A7,26,FF,566.92
T000825,A33,26,CC,854.59
T000826,A10,26,BB,214.27
T000827,A38,26,EE,201.78
T000828,A6,26,DD,678.71
T000829,A44,26,GG,903.72
T000830,A1,26,DD,337.49
T000831,A26,26,CC,307.88
T000832,A5,26,DD,921.92
T000833,A30,26,BB,632.58
T000834,A3,26,BB,540.02
T000835,A24,26,FF,337.48
T000836,A34,26,GG,200.36
T000837,A15,26,CC,403.69
T000838,A17,26,CC,969.10
T000839,A36,26,FF,757.76
T000840,A18,26,CC,603.92
T000841,A12,26,DD,925.90
T000842,A32,26,GG,751.77
T000843,A34,26,AA,888.58
T000844,A25,26,EE,571.86
T000845,A25,26,EE,20.93
T000846,A14,26,FF,950.86
T000847,A47,26,EE,950.51
T000848,A31,26,GG,314.32
T000849,A9,26,AA,141.36
T000850,A31,26,FF,406.26
T000851,A18,26,EE,22.60
T000852,A42,26,EE,308.68
T000853,A14,26,BB,519.08
T000854,A16,26,AA,402.91
T000855,A41,26,DD,913.75
T000856,A21,26,GG,937.10
T000857,A34,26,DD,73.10
T000858,A38,26,EE,356.95
T000859,A19,26,DD,201.63
T000860,A43,26,BB,581.54
T000861,A16,27,AA,455.58
T000862,A9,27,BB,961.35
T000863,A45,27,BB,943.08
T000864,A29,27,EE,742.93
T000865,A17,27,FF,865.01
T000866,A40,27,GG,482.54
T000867,A22,27,GG,809.79
T000868,A45,27,DD,0.59
T000869,A1,27,BB,505.46
T000870,A15,27,GG,149.36
T000871,A44,27,GG,653.35
T000872,A46,27,CC,878.49
